Title: 可程式自動化測試紀錄

工單號碼:,EI2211123-MA01-24D09HI-20231012-1-6成品
測試模式:,一般
程式版本:,ATS_PILOTRUN, v3.7.6.230717版
SPEC版本:,1.4
測試種類:,DC/DC
測試類型:,DN
測試型號:,MA01-24D09
起始時間:,2023/10/12 上午 09:23:59
結束時間:,2023/10/12 下午 01:34:44
總測試數量:,6,Pcs
測試項目:,32,項/PCS
測試階層:,1,層(Vi:1層)*(Io:1層)*(循環:1層)
總測試數據:,18,筆
總測試項目:,192,項
總時間:,15044,S
平均時間:,2507.33,S/Pcs

電壓單位:,V
電流單位:,mA
示波器量測單位:,V/mA
測試條件概要:,ViL: 21.60V,ViN: 24.00V,ViH: 26.40V,+Vo: 9.00V,-Vo: -9.00V,IoF: 56.00mA,IoL: 11.20mA 

編號(No.),滿載輸入電流(mA)(FL),滿載輸入電流(mA)(FN),滿載輸入電流(mA)(FH),空載輸入電流(mA)(NL),空載輸入電流(mA)(NN),空載輸入電流(mA)(NH),輸出電壓(FL)(+),輸出電壓(FL)(-),輸出電壓(FN)(+),輸出電壓(FN)(-),輸出電壓(FH)(+),輸出電壓(FH)(-),輸出電壓(LL)(+),輸出電壓(LL)(-),輸出電壓(LN)(+),輸出電壓(LN)(-),輸出電壓(LH)(+),輸出電壓(LH)(-),輸出電壓(NL)(+),輸出電壓(NL)(-),輸出電壓(NN)(+),輸出電壓(NN)(-),輸出電壓(NH)(+),輸出電壓(NH)(-),絕緣電容(pF),漏電流(uA),漣波雜訊(mV/VP-P)(FL)(+),漣波雜訊(mV/VP-P)(FL)(-),漣波雜訊(mV/VP-P)(FN)(+),漣波雜訊(mV/VP-P)(FN)(-),漣波雜訊(mV/VP-P)(FH)(+),漣波雜訊(mV/VP-P)(FH)(-),漣波雜訊(mV/VP-P)(LN)(+),漣波雜訊(mV/VP-P)(LN)(-),震盪頻率(KHz)FL,震盪頻率(KHz)FN,震盪頻率(KHz)FH,短路電流(mA)FL,短路電流(mA)FN,短路電流(mA)FH,反射輸入漣波(mA/P-P)FL,反射輸入漣波(mA/P-P)FN,反射輸入漣波(mA/P-P)FH,FL暫態(uS)(+),FL暫態(uS)(-),FL暫態(%)(+),FL暫態(%)(-),FN暫態(uS)(+),FN暫態(uS)(-),FN暫態(%)(+),FN暫態(%)(-),FH暫態(uS)(+),FH暫態(uS)(-),FH暫態(%)(+),FH暫態(%)(-),效率(%)FL,效率(%)FN,效率(%)FH,線調整率(%)(FN)(+),線調整率(%)(FN)(-),負載調整率(%)(FN)(+),負載調整率(%)(FN)(-),電壓平衡率(%)(FN),電壓準確率(%)(FN)(+),電壓準確率(%)(FN)(-),過電流保護(%)(FL),過電流保護(%)(FN),過電流保護(%)(FH),Remote ON,Remote OFF,Trim(Up),Trim(Dn),I.R.,HI-POT,FL開機測試(R+C),FL開機測試(R),FL開機測試(E),FL開機測試(E+C),FN開機測試(R+C),FN開機測試(R),FN開機測試(E),FN開機測試(E+C),FH開機測試(R+C),FH開機測試(R),FH開機測試(E),FH開機測試(E+C),LL開機測試(R+C),LL開機測試(R),LL開機測試(E),LL開機測試(E+C),LN開機測試(R+C),LN開機測試(R),LN開機測試(E),LN開機測試(E+C),LH開機測試(R+C),LH開機測試(R),LH開機測試(E),LH開機測試(E+C),輕載失控(LL),輕載失控(LN),輕載失控(LH),輕載加到滿載(L),輕載加到滿載(N),輕載加到滿載(H),電阻切換負載(L),電阻切換負載(N),電阻切換負載(H),R+C切換負載(L),R+C切換負載(N),R+C切換負載(H),E+C切換負載(L),E+C切換負載(N),E+C切換負載(H),電子開機測試,電子關機測試,R4'V監控電壓,P3'V38**之P3電壓,P7'V38**之P7電壓,VDS責任週期(FL),VDS責任週期(FN),VDS責任週期(FH),VGS(FL),VGS(FH),VDS(FN),VDS(FH),最小開機電壓(V),最大關機電壓(V),遠端控制最大待機電壓/電流值(N)(V),遠端控制最大待機電壓/電流值(N)(mA),OverShoot(%)(+V)(L),OverShoot(%)(-V)(L),OverShoot(%)(+V)(N),OverShoot(%)(-V)(N),OverShoot(%)(+V)(H),OverShoot(%)(-V)(H),ULVO(N),遠端控制最小工作電壓/電流值(N)(V),遠端控制最小工作電壓/電流值(N)(mA),短路操作頻率最大值(L)(hz),短路操作頻率最大值(N)(hz),短路操作頻率最大值(H)(hz),待機最大電流(RMT=0)(N)(mA),Image:RippleFreq(FL),Image:RippleFreq(FN),Image:RippleFreq(FH),Image:RippleFreq(LN),Image:IiRef(FL),Image:IiRef(FN),Image:IiRef(FH),Image:VoDYNA(FL),Image:VoDYNA(FN),Image:VoDYNA(FH),Image:VGS(FL),Image:VGS(FH),Image:VDS(FN),Image:VDS(FH),Image:DutyCycle(FL),Image:DutyCycle(FN),Image:DutyCycle(FH),Image:OverShoot(FL),Image:OverShoot(FN),Image:OverShoot(FH),Image:VoShortFreqMax(L),Image:VoShortFreqMax(N),Image:VoShortFreqMax(H),Image:OverShoot(ViL),Image:OverShoot(ViN),Image:OverShoot(ViH),Image:Rmt_On/Off(L),Image:Rmt_On/Off(N),Image:Rmt_On/Off(H),Image:Freq(FL),Image:Freq(FN),Image:Freq(FH),溫度(攝氏),測試時間
1,60.400,61.600,64.700,21.6000,22.3000,23.4000,7.9950,-7.9970,8.9820,-8.9830,10.1420,-10.1430,8.8360,-8.8250,9.4160,-9.4130,10.3310,-10.3320,15.2880,-15.2720,15.6580,-15.6170,15.8290,-15.7790,,,35.20,98999999999999985719842460938139103920128.00,33.60,98999999999999985719842460938139103920128.00,64.80,98999999999999985719842460938139103920128.00,,,164.200,56.240,156.400,,,17.900,,,,,,,,,,,,,,,,70.948,70.297,70.217,111.093,111.093,5.2913,5.1905,-0.011,-0.244,-0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_01_02_TL.PNG,Gen_01_01_TL.PNG,Gen_01_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_01_04_TL.PNG,Gen_01_05_TL.PNG,Gen_01_06_TL.PNG,-39.80,2023/10/12 10:22:56
2,59.900,61.000,64.100,21.6000,22.3000,22.8000,8.0280,-8.0270,9.0110,-9.0110,10.1280,-10.1250,8.8540,-8.8490,9.5660,-9.5520,10.3180,-10.3150,15.7180,-15.7460,15.8440,-15.8450,15.7090,-15.6330,,,39.20,98999999999999985719842460938139103920128.00,56.80,98999999999999985719842460938139103920128.00,61.60,98999999999999985719842460938139103920128.00,,,97.660,88.030,85.250,,,18.200,,,,,,,,,,,,,,,,70.912,70.472,70.407,118.049,116.652,8.1315,7.9325,0.022,0.089,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_02_02_TL.PNG,Gen_02_01_TL.PNG,Gen_02_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_02_04_TL.PNG,Gen_02_05_TL.PNG,Gen_02_06_TL.PNG,-41.19,2023/10/12 10:28:40
3,58.800,60.000,62.700,19.3000,20.1000,21.1000,8.0330,-8.0330,9.0180,-9.0200,10.1270,-10.1290,8.4210,-8.4220,9.3270,-9.3280,10.2680,-10.2690,14.8570,-14.8410,15.3300,-15.2900,15.6760,-15.6300,,,41.60,98999999999999985719842460938139103920128.00,44.80,98999999999999985719842460938139103920128.00,75.20,98999999999999985719842460938139103920128.00,,,151.800,77.280,147.600,,,18.000,,,,,,,,,,,,,,,,72.725,72.267,70.703,117.642,117.628,3.6487,3.6039,-0.011,0.200,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_03_02_TL.PNG,Gen_03_01_TL.PNG,Gen_03_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_03_04_TL.PNG,Gen_03_05_TL.PNG,Gen_03_06_TL.PNG,-39.62,2023/10/12 10:34:24
4,61.700,64.000,65.700,21.0000,21.7000,22.9000,8.1210,-8.1150,9.1730,-9.1380,10.1450,-10.1410,8.4560,-8.4570,9.3920,-9.4020,10.3450,-10.3540,14.6760,-14.6940,14.8720,-14.8820,15.0250,-14.9940,,,62.40,98999999999999985719842460938139103920128.00,29.60,98999999999999985719842460938139103920128.00,76.00,98999999999999985719842460938139103920128.00,,,78.990,133.300,148.400,,,18.000,,,,,,,,,,,,,,,,70.147,69.566,67.581,118.038,122.712,2.6382,2.6720,0.065,1.933,2.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_04_02_TL.PNG,Gen_04_01_TL.PNG,Gen_04_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_04_04_TL.PNG,Gen_04_05_TL.PNG,Gen_04_06_TL.PNG,-39.93,2023/10/12 10:40:08
5,60.500,61.800,64.700,21.0000,21.8000,22.6000,8.0330,-8.0340,9.0360,-9.0370,10.0350,-10.1400,8.7970,-8.7900,9.4170,-9.4110,10.3100,-10.3070,15.6850,-15.6490,16.0480,-15.9410,16.1530,-16.0470,,,42.40,98999999999999985719842460938139103920128.00,37.60,98999999999999985719842460938139103920128.00,75.20,98999999999999985719842460938139103920128.00,,,159.700,158.500,80.910,,,17.800,,,,,,,,,,,,,,,,71.286,70.700,70.620,110.595,109.871,5.1100,4.6939,-0.155,0.200,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_05_02_TL.PNG,Gen_05_01_TL.PNG,Gen_05_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_05_04_TL.PNG,Gen_05_05_TL.PNG,Gen_05_06_TL.PNG,-40.40,2023/10/12 10:45:51
6,59.800,61.200,63.800,20.6000,21.4000,22.6000,8.0400,-8.0400,9.0160,-9.0170,10.1470,-10.1480,8.8210,-8.8180,9.4080,-9.4050,10.3170,-10.3170,15.6020,-15.5280,16.0920,-16.0230,16.4190,-16.3840,,,40.80,98999999999999985719842460938139103920128.00,38.40,98999999999999985719842460938139103920128.00,68.80,98999999999999985719842460938139103920128.00,,,163.900,160.300,80.910,,,18.300,,,,,,,,,,,,,,,,72.000,71.579,71.389,109.239,109.295,4.7550,4.6664,0.000,0.244,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_06_02_TL.PNG,Gen_06_01_TL.PNG,Gen_06_03_TL.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_06_04_TL.PNG,Gen_06_05_TL.PNG,Gen_06_06_TL.PNG,-39.96,2023/10/12 10:51:35
1,59.100,60.500,62.000,15.5000,16.9000,18.8000,8.1610,-8.1610,9.1350,-9.1350,10.0980,-10.0990,8.5120,-8.5100,9.4630,-9.4620,10.4110,-10.4100,9.5670,-9.5580,10.4140,-10.4060,11.1800,-11.1780,,,32.80,98999999999999985719842460938139103920128.00,26.40,98999999999999985719842460938139103920128.00,26.40,98999999999999985719842460938139103920128.00,,,180.000,200.800,112.400,,,28.800,,,,,,,,,,,,,,,,75.743,74.531,73.204,106.972,107.096,3.6113,3.5554,0.000,1.533,1.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_07_02_TN.PNG,Gen_07_01_TN.PNG,Gen_07_03_TN.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_07_04_TN.PNG,Gen_07_05_TN.PNG,Gen_07_06_TN.PNG,84.76,2023/10/12 11:50:51
2,59.400,61.300,63.600,16.4000,18.4000,20.7000,8.1880,-8.1870,9.1760,-9.1750,10.1490,-10.1490,8.5530,-8.5500,9.4940,-9.4910,10.4300,-10.4280,9.7220,-9.7160,10.5100,-10.5030,11.2870,-11.2790,,,36.00,98999999999999985719842460938139103920128.00,31.20,98999999999999985719842460938139103920128.00,29.60,98999999999999985719842460938139103920128.00,,,90.740,211.000,112.600,,,29.300,,,,,,,,,,,,,,,,75.975,74.087,72.177,107.912,108.446,3.4633,3.4419,0.000,2.033,2.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_08_02_TN.PNG,Gen_08_01_TN.PNG,Gen_08_03_TN.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_08_04_TN.PNG,Gen_08_05_TN.PNG,Gen_08_06_TN.PNG,87.51,2023/10/12 11:56:35
3,61.500,63.100,64.900,17.9000,19.7000,22.0000,8.2000,-8.2010,9.1710,-9.1720,10.1260,-10.1330,8.5050,-8.5040,9.4560,-9.4560,10.4050,-10.4070,9.5100,-9.5090,10.3350,-10.3370,11.1230,-11.1280,,,31.20,98999999999999985719842460938139103920128.00,26.40,98999999999999985719842460938139103920128.00,28.00,98999999999999985719842460938139103920128.00,,,89.770,100.200,110.900,,,31.500,,,,,,,,,,,,,,,,74.311,72.861,70.991,106.092,106.134,3.1073,3.0960,-0.022,1.900,1.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_09_02_TN.PNG,Gen_09_01_TN.PNG,Gen_09_03_TN.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_09_04_TN.PNG,Gen_09_05_TN.PNG,Gen_09_06_TN.PNG,84.74,2023/10/12 12:02:19
4,60.200,61.700,63.400,17.0000,18.9000,20.7000,8.1930,-8.1960,9.1640,-9.1660,10.1270,-10.1310,8.4980,-8.5030,9.4430,-9.4470,10.3850,-10.3880,9.4910,-9.4940,10.2810,-10.2640,11.0760,-11.0590,,,36.00,98999999999999985719842460938139103920128.00,30.40,98999999999999985719842460938139103920128.00,32.80,98999999999999985719842460938139103920128.00,,,90.910,100.000,110.400,,,28.500,,,,,,,,,,,,,,,,73.268,71.665,69.804,106.554,106.638,2.8341,2.9626,-0.054,1.889,1.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_10_02_TN.PNG,Gen_10_01_TN.PNG,Gen_10_03_TN.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen_10_04_TN.PNG,Gen_10_05_TN.PNG,Gen_10_06_TN.PNG,84.88,2023/10/12 12:08:03
